nombre_colab,url_colab
Valentina Abufhele,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-40
Bernardo Amigo,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-15
Nicolás Angelcos,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-8
María Sol Anigstein,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-44
Francisco Araos Leiva,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-111
Marcelo Arnold,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-25
Catalina Arteaga-Aguirre,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-17
Jenny Assael,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-26
Rodrigo Asún,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-11
Octavio Avendaño,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-45
Gabriela Azócar,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-46
Rodrigo Baño Ahumada,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-109
Emmanuelle Barozet,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-33
Carolina Belmar,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-24
Marcela Betancour,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-48
Pablo Cabrera,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-50
Hugo Cadenas,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-51
Claudia Campillo,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-52
Manuel Canales,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-54
Claudia Capella,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-55
Isabel Cartajena,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-56
Juan Carlos Castillo,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-6
Rodrigo Cornejo Chávez,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-34
Javiera Cubillos Almendra,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-113
Sofía Donoso,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-59
Claudio Duarte Quapper,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-29
Michele Dufey,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-60
Marisol Facuse,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-28
Gonzalo Falabella,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-61
Enzo Faletto,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-105
Marcela Ferrer,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-63
Carolina Franch,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-4
Caterine Galaz Valderrama,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-65
Manuel Antonio Garretón,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-66
Emiliano Gissi,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-67
Andrés Gómez Seguel,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-68
Valeria Herrera,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-69
Hillary Hiner,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-70
Daniella Jofré,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-71
Daniel Johnson,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-20
Julieta Kirkwood,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-106
Kornelius Kupczik,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-72
Mario Laborda,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-39
Loreto Leiva Bahamondes,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-7
Nicolás Lira,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-12
Juan Ignacio Lozano,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-76
Johanna Madrigal Calderón,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-108
Alejandro Marambio,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-104
Teresa Matus,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-2
André Menard,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-78
Pablo Mendez-Quiros,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-79
Gonzalo Míguez,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-36
Claudio Millacura,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-23
Christian Miranda Jaña,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-3
Daniel Miranda,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-80
Gianinna Muñoz Arce,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-35
Karina Navarro Rodríguez,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-30
Julieta Palma Palma,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-115
Lorena Pérez Roa,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-13
Pablo Pérez Ahumada,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-18
Isabel Piper Shafir,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-86
Vanetza Quezada,https://colaboratoriocienciassociales.uchile.cl/investigadores-ficha-87
